('26077387', '32807846'): 1.00
('32807846', '90673288'): 1.00
('32807846', '21143940'): 1.00
('6767771', '32807846'): 0.99
('32807846', '8949584'): 0.99
('32807846', '98338152'): 0.99
('32807846', '40044918'): 0.99
('32807846', '94392192'): 0.99
('32807846', '63288573'): 0.99
('32807846', '95474755'): 0.99
('32807846', '9726840'): 0.98
('32807846', '8491308'): 0.98
('73956664', '32807846'): 0.98
('32807846', '65734501'): 0.98
('32807846', '61292243'): 0.98
('32807846', '31149212'): 0.98
('32807846', '73542331'): 0.98
('32807846', '70493141'): 0.98
('32807846', '18094166'): 0.97
('32807846', '69540484'): 0.97
('32807846', '50720316'): 0.97
('32807846', '37617348'): 0.97
('32807846', '27780618'): 0.96
('32807846', '9411399'): 0.96
('37961969', '32807846'): 0.96
('32807846', '63166095'): 0.96
('74078255', '32807846'): 0.96
('32807846', '1329620'): 0.95
('572850', '32807846'): 0.95
('60362066', '32807846'): 0.95
('32807846', '80117527'): 0.95
('32807846', '68304193'): 0.94
('25926710', '32807846'): 0.94
('32807846', '38339996'): 0.94
('32807846', '21639276'): 0.94
('32807846', '58481572'): 0.94
('32807846', '78144171'): 0.94
('32807846', '52947044'): 0.93
('32807846', '41443249'): 0.93
('74920585', '32807846'): 0.93
('32807846', '46291010'): 0.93
('32807846', '58004362'): 0.93
('32807846', '22865492'): 0.93
('32807846', '213326'): 0.93
('92731385', '32807846'): 0.93
('84330567', '32807846'): 0.93
('77103950', '32807846'): 0.93
('32807846', '37495766'): 0.93
('32807846', '11069680'): 0.92
('28226490', '32807846'): 0.92
('32807846', '24010609'): 0.92
('32807846', '80845034'): 0.92
('32807846', '45906428'): 0.92
('32807846', '59392529'): 0.91
('32807846', '32909498'): 0.91
('32807846', '63977008'): 0.91
('62320425', '32807846'): 0.91
('32807846', '16169772'): 0.91
('32807846', '45725480'): 0.91
('38436986', '32807846'): 0.90
('32807846', '55285840'): 0.90
('32807846', '99550630'): 0.90
('32807846', '33878367'): 0.90
('8264361', '32807846'): 0.90
('37351133', '32807846'): 0.90
('32807846', '22908820'): 0.89
('32807846', '75147529'): 0.89
('32807846', '54757758'): 0.89
('32807846', '96363153'): 0.89
('32807846', '72329844'): 0.89
('55623480', '32807846'): 0.89
('32807846', '60461804'): 0.89
('21044178', '32807846'): 0.89
('32807846', '40854197'): 0.88
('99937011', '32807846'): 0.88
('63542003', '32807846'): 0.88
