('80161395', '18739764'): 1.00
('55573346', '18739764'): 0.97
('56051086', '18739764'): 0.91
('95856586', '18739764'): 0.90
('9910360', '18739764'): 0.89
('18063928', '18739764'): 0.88
('60237530', '18739764'): 0.87
('68745629', '18739764'): 0.87
('18739764', '12678870'): 0.87
('49456901', '18739764'): 0.86
('83743222', '18739764'): 0.85
('68295149', '18739764'): 0.85
('7409792', '18739764'): 0.85
('46354113', '18739764'): 0.85
('78084378', '18739764'): 0.85
('23187256', '18739764'): 0.84
('67517351', '18739764'): 0.84
('67926903', '18739764'): 0.84
('31123642', '18739764'): 0.84
('69852487', '18739764'): 0.83
('50282757', '18739764'): 0.83
('56840427', '18739764'): 0.83
('95134948', '18739764'): 0.82
('92365601', '18739764'): 0.82
('77561728', '18739764'): 0.82
('85507811', '18739764'): 0.82
('59724555', '18739764'): 0.82
('23898021', '18739764'): 0.82
('62623659', '18739764'): 0.82
('92428405', '18739764'): 0.81
('23720856', '18739764'): 0.80
('40941889', '18739764'): 0.80
('51543904', '18739764'): 0.80
('18739764', '11705261'): 0.80
('68679595', '18739764'): 0.80
('68258355', '18739764'): 0.79
('49513164', '18739764'): 0.79
('13331639', '18739764'): 0.79
('4647954', '18739764'): 0.79
('29762407', '18739764'): 0.78
('66970002', '18739764'): 0.77
('91272072', '18739764'): 0.77
('85119159', '18739764'): 0.77
('69145169', '18739764'): 0.77
('32164201', '18739764'): 0.77
('77848740', '18739764'): 0.76
('91740879', '18739764'): 0.76
('36224040', '18739764'): 0.75
('18739764', '10817524'): 0.73
('2896663', '18739764'): 0.73
('21076084', '18739764'): 0.73
('12307878', '18739764'): 0.72
('62517849', '18739764'): 0.72
('94770493', '18739764'): 0.72
('64591429', '18739764'): 0.72
('57314798', '18739764'): 0.71
('63504681', '18739764'): 0.71
('8512558', '18739764'): 0.71
('423585', '18739764'): 0.71
('5043010', '18739764'): 0.70
('24557335', '18739764'): 0.70
('38960450', '18739764'): 0.69
('56920308', '18739764'): 0.69
('30459350', '18739764'): 0.69
('65305468', '18739764'): 0.67
('84013237', '18739764'): 0.65
('88241506', '18739764'): 0.64
('80101899', '18739764'): 0.63
('98827725', '18739764'): 0.63
('86221741', '18739764'): 0.63
('18739764', '11443677'): 0.63
('85289965', '18739764'): 0.60
('1118137', '18739764'): 0.60
('30576089', '18739764'): 0.60
('60303688', '18739764'): 0.58
('59822133', '18739764'): 0.58
('65330383', '18739764'): 0.58
('8240199', '18739764'): 0.58
('38745520', '18739764'): 0.56
('2129638', '18739764'): 0.55
('94259633', '18739764'): 0.54
('71039903', '18739764'): 0.54
('41620959', '18739764'): 0.53
('93946239', '18739764'): 0.52
('85852291', '18739764'): 0.51
('27548199', '18739764'): 0.51
('38120068', '18739764'): 0.51
('2511', '18739764'): 0.50
('69599136', '18739764'): 0.50
('63767246', '18739764'): 0.50
('2347656', '18739764'): 0.50
('33407125', '18739764'): 0.49
('42166000', '18739764'): 0.49
('54974237', '18739764'): 0.47
('66011101', '18739764'): 0.46
('70368879', '18739764'): 0.46
('21887175', '18739764'): 0.46
('19508728', '18739764'): 0.46
('32807846', '18739764'): 0.45
('81497285', '18739764'): 0.45
('99267150', '18739764'): 0.44
('92714517', '18739764'): 0.44
('1225009', '18739764'): 0.43
('5380979', '18739764'): 0.43
('2295440', '18739764'): 0.43
('70369116', '18739764'): 0.43
('89631139', '18739764'): 0.40
('41209827', '18739764'): 0.40
('41999284', '18739764'): 0.39
('41420027', '18739764'): 0.38
('54693926', '18739764'): 0.37
('20899496', '18739764'): 0.36
('54757758', '18739764'): 0.35
('90590303', '18739764'): 0.35
('24299458', '18739764'): 0.35
('94192409', '18739764'): 0.33
('86066372', '18739764'): 0.32
('84211599', '18739764'): 0.30
('83326048', '18739764'): 0.30
('83764719', '18739764'): 0.30
('98127546', '18739764'): 0.29
('37629703', '18739764'): 0.29
('80532587', '18739764'): 0.29
('14532163', '18739764'): 0.28
('12580477', '18739764'): 0.27
('49238328', '18739764'): 0.25
('18144507', '18739764'): 0.23
('2857636', '18739764'): 0.22
('25311006', '18739764'): 0.18
('24224830', '18739764'): 0.17
('23434538', '18739764'): 0.01
('18739764', '10045474'): 0.00
